,SRX5961261,SRX3266939
acrB,22765,1800
acrA,9897,178
acrR,1002,26
aefA,2510,315
STM0479,388,4
ybaM,16,5
priC,124,29
ybaN,300,39
apt,1110,210
dnaX,4036,923
ybaB,818,366
recR,1779,1127
htpG,1736,830
adk,2028,1523
hemH,309,107
aes,102,1
gsk,952,356
ybaL,1689,355
fsr,874,14
ushA,399,111
ybaK,278,45
ybaP,376,38
STM0497,28,0
copA,245,52
cueR,185,60
ybbJ,128,41
ybbK,256,28
ybbL,47,1
ybbM,189,24
ybbN,537,95
ybbO,328,28
tesA,214,3
ybbA,105,99
ybbP,207,177
STM0509,175,31
sfbA,819,19
sfbB,393,11
sfbC,214,23
ybbB,430,51
ybbS,40,0
allA,10,3
allR,167,39
gcl,29,0
gip,2,0
glxR,16,9
STM0520,6,1
ybbV,0,0
allP,1,0
allB,20,24
ybbY,24,6
glxK,11,1
ylbA,137,19
allC,17,0
allD,27,2
fdrA,15,2
ylbE,16,2
ylbF,2,1
arcC,31,7
purK,513,30
purE,226,21
lpxH,560,17
ppiB,1982,44
cysS,1492,805
STM0538,258,0
STM0539,42,0
ybcI,145,0
ybcJ,176,50
folD,805,87
fimA,11,13
fimI,28,1
fimC,3,0
fimD,35,4
fimH,18,0
fimF,25,3
fimZ,2,0
fimY,46,0
STM0551,5,0
fimW,19,0
STM0554,309,0
STM0557,55,0
yfdH,279,0
rfbI,239,0
STM0561,47,0
STM0562,28,5
STM0563,123,0
STM0564,71,2
STM0565,1,0
STM0566,63,3
STM0567,970,81
pheP,908,109
ybdG,738,19
apeE,89,42
STM0571,111,20
STM0572,43,0
STM0573,29,2
STM0574,57,6
STM0575,34,1
STM0576,20,2
STM0577,77,0
nfnB,4268,145
ybdF,1305,1
STM0580,2757,22
STM0581,1621,0
ybdJ,413,2
ybdK,864,41
entD,361,4
fepA,2429,1320
fes,479,1024
ybdZ,29,61
entF,1569,1659
fepE,963,361
fepC,877,102
fepG,1171,103
fepD,1789,137
ybdA,1249,266
fepB,1523,44
entC,2007,994
entE,1345,466
entB,647,457
entA,373,418
ybdB,201,70
cstA,528,257
ybdD,39,4
ybdH,113,24
ybdL,170,15
ybdM,77,16
ybdN,174,5
ybdO,261,3
dsbG,567,49
ahpC,17183,268
ahpF,2633,138
STM0610,4,1
STM0611,73,2
STM0612,30,0
STM0613,96,16
ybdQ,523,68
ybdR,45,3
rnk,364,69
rna,781,16
citT,117,25
citG,12,0
citX,3,0
citF,3,7
citE,9,13
citD,1,0
citC,8,0
dpiB,36,21
dpiA,23,21
dcuC,39,26
pagP,180,28
cspE,10161,693
crcB,53,21
ybeM,49,16
ybeC,96,266
lipA,5330,227
ybeF,271,8
lipB,504,34
ybeD,420,104
dacA,1694,184
rlpA,923,118
mrdB,354,45
mrdA,1168,126
ybeA,942,155
ybeB,1264,218
cobC,94,1
cobD,171,19
nadD,352,18
holA,952,144
rlpB,1069,206
leuS,4995,1337
STM0649,8,0
